,Participants,Masks,Target Location Straight,Target Location Rotate,Layers,Kl Div
850,03,motor,207,153,2,3.316901711887875
851,03,motor,207,153,3,0.532979075229342
852,03,motor,207,207,0,214.5930927275019
853,03,motor,207,207,1,17.811131199206432
854,03,motor,207,207,2,5.401513461901083
855,03,motor,207,207,3,0.03062291989671051
856,03,motor,207,45,0,220.01652633305588
857,03,motor,207,45,1,20.084064705261277
858,03,motor,207,45,2,3.1162172686551055
859,03,motor,207,45,3,0.46903276788894815
860,03,motor,207,99,0,208.75049317689064
861,03,motor,207,99,1,20.189884625031922
862,03,motor,207,99,2,7.066286656495705
863,03,motor,207,99,3,0.5406670158648166
864,03,motor,45,153,0,213.11512957097827
865,03,motor,45,153,1,18.84285443076328
866,03,motor,45,153,2,6.129608116647866
867,03,motor,45,153,3,0.580932387890392
868,03,motor,45,207,0,216.03526506825585
869,03,motor,45,207,1,19.817318397496884
870,03,motor,45,207,2,5.23206204514979
871,03,motor,45,207,3,
872,03,motor,45,45,0,228.38903585329084
873,03,motor,45,45,1,19.6049893120529
874,03,motor,45,45,2,7.943730909516543
875,03,motor,45,45,3,0.46204844096701864
876,03,motor,45,99,0,214.77749180074454
877,03,motor,45,99,1,22.400195176220542
878,03,motor,45,99,2,5.858370182760628
879,03,motor,45,99,3,0.170317850441864
880,03,motor,99,153,0,205.40497835386748
881,03,motor,99,153,1,15.021352604098503
882,03,motor,99,153,2,5.803437936770736
883,03,motor,99,153,3,0.03425384426935919
884,03,motor,99,207,0,212.61525873397062
885,03,motor,99,207,1,16.116134374481653
886,03,motor,99,207,2,4.310154951555994
887,03,motor,99,207,3,0.4253218237575827
888,03,motor,99,45,0,218.282438323698
889,03,motor,99,45,1,15.779467039132435
890,03,motor,99,45,2,7.111775404691889
891,03,motor,99,45,3,0.7009486798365315
892,03,motor,99,99,0,206.51363123744025
893,03,motor,99,99,1,18.261539361735778
894,03,motor,99,99,2,7.227376973059224
895,03,motor,99,99,3,0.5257495136692546
896,03,v1,153,153,0,304.45820891298655
897,03,v1,153,153,1,16.234904984897355
898,03,v1,153,153,2,7.506356953631842
899,03,v1,153,153,3,0.6556417867298897
